name,is_outdoor,price_rating,booking_required,intimate,time_of_day,headline,address_text,address_postcode,area_category,area_numeric,meal_type,description_html,external_link,address_longitudinal,address_latitudinal,end_column_unused
Duck & Waffle - Bar,1,3,1,1,3,Have a cocktail and enjoy London skyline views at the stylish Duck & Waffle,"Duck & Waffle, 110 Bishopsgate, London EC2N 4AY",EC2N 4AY,Central - East,1,bar,"The bar at Duck & Waffle is stylish, modern and romantic, boasting beautiful London skyscraper views. It is a common spot for out of towners given the atmosphere and trendy vibes.  Pro tip: the glass elevator to the 38th floor will give you a rush as you look out over the city.",https://duckandwaffle.com/,0,0,1
SushiSamba - Bar - The City,1,3,1,1,3,"Enjoy skyline views, hip beats and cocktails at the trendy SushiSamba","Sushisamba, 110 Bishopsgate, London EC2N 4AY",EC2N 4AY,Central - East,1,bar,"SushiSamba's sexy rooptop bar has beats, cocktails and a beautiful scenery. Step into their indoor bar for a Japanese themed area with sweeping skyline views of London. This is a perfectly fun and intimate location to end the night. ",https://www.sushisamba.com/,0,0,1
Madison - Bar,1,3,1,1,3,Enjoy skyline views over St.Paul's and a beautiful outdoor terrace at Madison,"Madison Restaurant, Rooftop Terrace, One New Change, St PaulÕs, London EC4M 9AF",EC4M 9AF,Central - East,1,bar,"Madison has some of the best rooftop bar views in London, with a beautiful viewing area over St.Paul's. In the winter, heat lamps keep the outdoor area warm. Go on a Friday or Saturday night for great beats and more of a party atmosphere.",https://www.madisonlondon.net/,0,0,1
Hoppers Soho,1,3,1,1,3,Try mouthwatering Sri Lankan food at Hoppers Soho,"Hoppers, 49 Frith Street, London W1D 4SG",W1D 4SG,West,4,restaurant,"Hoppers is a super popular London hotspot for Sri Lankan food. At prime times, get there early to put your name on the waitlist - you can go grab a drink at a bar nearby as you can count on the fact that there will be a wait. Their signature ""hoppers"" (large crispy pancakes) are a must try, as well as their bone marrow curry and devilled prawns.",https://www.hopperslondon.com/,0,0,1
Din Tai Fung,1,3,1,1,3,Enjoy dim sum and top-notch Shanghainese soup dumplings at Din Tai Fung,"Din Tai Fung, 5-6 Henrietta Street, Covent Garden, London WC2E 8PS",WC2E 8PS,Central - West,2,restaurant,"Straight out of Taiwan, Din Tai Fung has become a global sensation. They are most famous for their xiao long bao, delicious pork dumplings filled with soup. Get ready to share new foods as their menu is dim sum style. The restaurant doesn't accept reservations but you can grab a drink (or a Taiwanese bubble tea) at their bar while you wait for a table.",https://www.dintaifung-uk.com/,0,0,1
Barrica,1,3,1,1,3,Feast on delicious Spanish tapas plates at Barrica,"Barrica, 62 Goodge Street, London W1T 4NE",W1T 4NE,West,4,restaurant,"Barrica's tapas are authentic, delicious and not to be missed. Try the Galician octopus, bellota jam—n (sliced ham pigs fed soley acorns), patatas bravas, and the cuttle fish black ink rice. The atmosphere is cosy and intimate and the neighbourhood is bustling.",http://www.barrica.co.uk/,0,0,1
Saltyard,1,3,1,1,3,Taste Spanish-Italian fusion tapas at Saltyard,"Saltyard, 54 Goodge Street, London W1T 4NA.",W1T 4NA,West,4,restaurant,"Saltyard is a fusion of Spanish and Italian cuisine, specialising in small plates and charcuterie. Here you can enjoy variations on familiar Spanish tapas favourites, while enjoying the cosy and intimate atmosphere.",https://www.saltyardgroup.co.uk/salt-yard-group-venues/salt-yard,0,0,1
Skypod at Skygarden,1,3,1,1,3,Enjoy 360 London views and a beautiful indoor rooftop garden at Skypod,"Sky Garden, 1 Sky Garden Walk, London EC3M 8AF",EC3M 8AF,Central - East,1,bar,"Skypod is the bar at London's Skygarden, a (covered) rooftop garden with a 360 degree view of London. Walk-ins are welcome without a booking in the evenings, which are the best time to go to see the skyscrapers and bridges of London lit up. Cocktails are tasty, and the views along the walking path perimeter of the rooftop will keep the conversation flowing as fast as the drinks.",https://skygarden.london/sky-pod-bar,0,0,1
Circus,1,4,1,1,2,Eat dinner with a live circus performance at Circus,"27-29 Endell St, London WC2H 9BA",WC2H 9BA,Central - West,2,restaurant,,https://www.circus-london.co.uk/,0,0,1
The Blind Pig,1,3,1,1,3,Grab cocktails at the low-lit and quaint Blind Pig in The Social Eating House,"Social Eating House, 58 Poland St, Soho, London W1F 7NR",W1F 7NQ,West,4,bar,,https://www.socialeatinghouse.com/#bar,0,0,1
Scarfes Library Bar,1,5,1,1,2,Have a cocktail or whisky at this swanky but cosy bar at the Rosewood,"Rosewood London, 252 High Holborn, Holborn, London WC1V 7EN",WC1V 7EN,Central - West,2,bar,,http://scarfesbar.com,0,0,1
The Little Yellow Door,1,4,1,1,2,Listen to music and grab a drink at this house party style bar,"6-8 All Saints Rd, Notting Hill, London W11 1HH",W11 1HH,West,4,bar,,http://thelittleyellowdoor.com,0,0,1
The Big Chill House,1,3,1,1,3,Enjoy beers on a chill rooftop at The Big Chill House,"257-259 Pentonville Rd, London N1 9NL",N1 9NL,North,7,bar,,https://bigchillbar.com/kings-cross,0,0,1
BYOC -Bring Your Own Cocktail - Camden,1,3,1,1,2,Bring along your favourite booze and get bespoke cocktails mixed,"11-13 Camden High St, Kings Cross, London NW1 7JE",NW1 7JE,Northwest,8,bar,,https://www.byoc.co.uk/,0,0,1
Mayor of Scaredy Cat Town,1,3,1,1,2,"Have a cocktail at this tiny, secret bar Mayor fo Scaredy Cat Town - just make sure you know the password!","12-16 Artillery Ln, Spitalfields, London E1 7LS",E1 7LS,East,3,bar,,http://www.themayorofscaredycattown.com/,0,0,1
The Connaught,1,5,1,1,3,Grab a martini at this ritzy hotel bar at the Connaught,"Carlos Pl, Mayfair, London W1K 2AL",W1K 2AL,West,4,bar,,http://the-connaught.co.uk,0,0,1
The Boundary Rooftop,1,3,1,1,3,Enjoy a spectacular London view and décor alonside your cocktail,"2-4 Boundary St, Redchurch St, Hackney, London E2 7DD",E2 7DD,East,3,bar,,https://boundary.london/rooftop/,0,0,1
The Hide Bar,1,3,1,1,3,Grab a brew or cocktail at this warehouse bar,"39-45 Bermondsey St, Bermondsey, London SE1 3XF",SE1 3XF,Southeast,5,bar,,http://thehidebar.com,0,0,1
Courtesan Dim Sum,1,3,1,1,3,Try some Chinese dim sum at this hip venue in a dim old-fashioned setting,"69-73 Atlantic Road, Brixton SW9 8PU",SW9 8PU,Southwest,6,bar,,http://thecourtesan.co.uk,0,0,1
The Prince,1,3,1,1,3,"Grab a beer at this massive leafy pub and garden, which doubles as a food court","14 Lillie Rd, Hammersmith, London SW6 1TT",SW6 1TT,Southwest,6,bar,,http://theprincelondon.com,0,0,1
Bar Elba,1,2,1,1,3,"Grab a cocktail on a buzzing rooftop, perfect for weekends and enjoying some music","Rooftop Mercury House, 109-117 Waterloo Rd, Lambeth, London SE1 8UL",SE1 8UL,Southeast,5,bar,,http://bar-elba.co.uk,0,0,1
Frank's CafŽ,1,2,1,1,3,Enjoy a cocktail at this hip roofop bar atop a Peckham carpark.,"95A Rye LaneÊ|Ê10TH Floor, Peckham Multi-Story Carpark,ÊLondon SE15 4ST",SE15 4ST,Southeast,5,bar,,http://boldtendencies.com/franks-cafe/,0,0,1
Opium Cocktail Bar,1,3,1,1,2,Grab a hip Asian-inspired cocktail at this secret bar with top ambiance.,"15-16 Gerrard St, London W1D 6JE",W1D 6JE,West,4,bar,,http://opiumchinatown.com/,0,0,1
Experimental Cocktail Club,1,3,1,1,2,Have an intricately-crafted and delicious cocktail at this multi-story secret bar in Chinatown.,"13a Gerrard St, Chinatown, London W1D 5PS",W1D 5PS,West,4,bar,,http://www.chinatownecc.com/,0,0,1
Cahoots,1,4,1,1,2,"Have a bootlegger cocktail in an old Tube station, with a swinging vibe","13 Kingly Ct, Soho, London W1B 5PW",W1B 5PW,West,4,bar,,https://www.cahoots-london.com/menus/?location=underground,0,0,1
12th Knot,1,4,1,1,3,Enjoy a glass of wine at this swanky Thameside spot with a 12th floor view,"20 Upper Ground, South Bank, London SE1 9PD",SE1 9PD,Southeast,5,bar,,https://www.seacontainerslondon.com/eat-drink/12th-knot/?utm_source=GMB-12thKnot&utm_medium=organic&utm_campaign=GMB-Website-Button,0,0,1
Radio Bar,1,4,1,1,3,"Enjoy this cool and stylish rooptop spot with panoramic views, atop a hotel","336-337 Strand, London WC2R 1HA",WC2R 1HA,Central - West,2,bar,,http://radiorooftop.com/london/,0,0,1
La Bodega Negra,1,4,1,1,2,This buzzing underground Mexican spot with a cosy vibe is renowned for its margaritas and delicious guacamole,"9 Old Compton St, Soho, London W1D 5JF",W1D 5JF,West,4,bar,,http://www.labodeganegra.com/,0,0,1
Vagabond Victoria,1,3,1,1,3,"A must-go for wine lovers, try hundreds of international wines from vending machine style dispensers at this buzzing spot.","Unit 17, 77 Buckingham Palace Rd, Westminster, London SW1W 0AJ",SW1W 0AJ,Southwest,6,bar,,https://www.vagabondwines.co.uk/,0,0,1
Mr. Fogg's Hous of Botanicals,1,4,1,1,2,Savor delicious tinctures and botanicals themed cocktails in this quirky and hip Victorian outpost,"48 Newman St, Fitzrovia, London W1T 1QQ",W1T 1QQ,West,4,bar,,mr-foggs.com,0,0,1
Shochu Lounge,1,3,1,1,2,"Enjoy flavors of Japanese shochu alcohol like plum and jasmine, poured over hand-carved ice, in this hip and chic cellar bar","37 Charlotte St, Fitzrovia, London W1T 1RR",W1T 1RW,West,4,bar,,rokarestaurant.com,0,0,1
Reverend J W Simpson,1,3,1,1,2,Unique cellar-style bar with unique cocktails and comfy chairs,"32 Goodge St, Bloomsbury, London W1T 2QJ",W1T 2QJ,West,4,bar,,revjwsimpson.com,0,0,1
Coppa Club,1,3,1,1,3,"Enjoy dinner in an igloo summer or winter, overlooking the Thames river and this relaxed and affordable spot","3 Three Quays Walk, Lower Thames St, London EC3R 6AH",EC3R 6AH,Central - East,1,bar,,http://www.coppaclub.co.uk/towerbridge/book/,0,0,1
Darcie & May Green,1,3,1,1,3,Grab a coffee or cocktail atop this colorful barge in the Paddington canals,"Grand Union Canal, Sheldon Square, Paddington Central W2 6DS",W2 6DS,West,4,bar,,daisygreenfood.com,0,0,1
Pergola Paddington,1,3,1,1,3,"An expansive bar with music, top food stalls, and a relaxed party atmosphere","4 Kingdom St, London W2 6PY",W2 6PY,West,4,bar,,pergolalondon.com,0,0,1
Pergola Olympia,1,3,1,1,3,"An expansive bar with music, top food stalls, and a relaxed party atmosphere","Level Five Rooftop, Olympia Car Park, Olympia Way W14 8UX",W14 8UX,West,4,bar,,pergolalondon.com,0,0,1
Jin Bo Law,1,4,1,1,3,This chic hotel bar offers city skyline views and a hip vibe,"14th floor, 9, Dorsett City, Aldgate High St, London EC3N 1AH",EC3N 1AH,Central - East,1,bar,,jinbolaw.co.uk,0,0,1
The Gibson,1,3,1,1,2,Eclectic and cosy little cocktail bar with a wide array of cocktails,"44 Old St, London EC1V 9AQ",EC1V 9AQ,Central - East,1,bar,,thegibsonbar.london,0,0,1
Discount Suit Company,1,3,1,1,2,"This cocktail bar, which was fomerly a tailor's stockroom, has now become a secret bar serving some of London's most delicious and visually impressive cocktails","29A Wentworth St, Spitalfields, London E1 7TB",E1 7TB,East,3,bar,,discountsuitcompany.co.uk,0,0,1
The Booking Office,1,4,1,1,3,"Housed in the St Pancras railway station, this stately English cocktail lounge is visually impressive and a quiet place to have a chat","St. Pancras Renaissance Hotel, Euston Rd, London NW1 2AR",NW1 2AR,Northwest,8,bar,,the-booking-office.com,0,0,1
The Crown and Shuttle,1,3,1,1,3,This buzzy multistory bar spans indoors and outdoors and offers great priced craft beers and a social vibe,"226 Shoreditch High St, Hackney, London E1 6PJ",E1 6PJ,East,3,bar,,http://www.crownandshuttle.com/,0,0,1
Nightjar,1,4,1,1,2,This intimate subterranean bar offers live jazz music with and some of London's coolest and most visually stunnig cocktails - don't order anything boring!,"129 City Rd, Hoxton, London EC1V 1JB",EC1V 1JB,Central - East,1,bar,,barnightjar.com,0,0,1
The Book Club,1,3,1,1,2,"Hip spot with music and bar games, always popular!","100-106 Leonard St, Hackney, London EC2A 4RH",EC2A 4RH,Central - East,1,bar,,wearetbc.com,0,0,1
The Cocktail Trading Company,1,3,1,1,2,"Funky and delicious cocktails in a cosy spot, with creative presentations that will delight!","68 Bethnal Green Rd, Shoreditch, London E1 6GQ",E1 6GQ,East,3,bar,,thecocktailtradingco.com,0,0,1
Brewdog Shoreditch,1,3,1,1,3,"This craft beer spot offers Scottish-brewery Brewdog's best, as well as regular guest brews on tap","51 Bethnal Green Rd, Shoreditch, London E1 6LA",E1 6LA,East,3,bar,,brewdog.com,0,0,1
Upper 5th,1,3,1,1,3,This gorgeous cocktail lounge offers a city view and a romantic atmosphere,"Courthouse Hotel Shoreditch, 335-337 Old St, London EC1V 9LL",EC1V 9LL,Central - East,1,bar,,courthouse-hotel.com,0,0,1
Shaka Zulu,1,4,1,1,2,This huge restaurant (it has its own escalator) offers elaborate African décor and gamey meats like zebra and springbok,"Stables Market, Chalk Farm Rd, London NW1 8AB",NW1 8AB,Northwest,8,bar,,shaka-zulu.com,0,0,1
Netil360,1,3,1,1,3,Grab a cocktail at this laid back outdoor rooftop bar with excellent views of London,"1 Westgate St, London E8 3R",E8 3RL,East,3,bar,,netil360.com,0,0,1
The Cauldron,1,3,1,1,2,This ticketed bar makes cocktails an extravagant chemical display - book to mix your own potions,"79 Stoke Newington Rd, Stoke Newington, London N16 8AD",N16 8AD,North,7,bar,,thecauldron.io,0,0,1
Ballieballerson,1,3,1,1,2,Jump in a ball pit and sip a retro cocktail at this fun hangout - check the website for the current theme!,"97-113 Curtain Rd, Hackney, London EC2A 3BS",EC2A 3BS,Central - East,1,bar,,ballieballerson.com,0,0,1
Macellaio RC Fitzrovia,1,4,1,1,3,Try a steak to die for at this casual Italian restaurant,"6 Store St, Bloomsbury, London WC1E 7DQ",WC1E 7DQ,Central - West,2,restaurant,,macellaiorc.com,0,0,1
Park Chinois,1,5,1,1,2,Enjoy a swanky night out at this opulent Chinese restaurant - check their website for the times of live music performances!,"17 Berkeley St, Mayfair, London W1J 8EA",W1J 8EA,West,4,restaurant,,parkchinois.com,0,0,1
Sexy Fish,1,5,1,1,3,This high-end and art-filled fish restaurant will serve you creative dishes in a top atmosphere!,"Berkeley Square House, Berkeley Square, Mayfair, London W1J 6BR",W1J 6BR,West,4,restaurant,,sexyfish.com,0,0,1
Lao CafŽ,1,3,1,1,3,"Try traditional Lao cuisine, including funky dishes like ant egg soup!","60 Chandos Pl, Covent Garden, London WC2N 4HG",WC2N 4HG,Central - West,2,restaurant,,laocafe.co.uk,0,0,1
Xu,1,4,1,1,3,Enjoy some dim sum and traditional Taiwanese teas at this stylish restaurant based on 1930s Taipei!,"30 Rupert St, London W1D 6DL",W1D 6DL,West,4,restaurant,,xulondon.com,0,0,1
The Palomar,1,3,1,1,3,Enjoy some top-notch and modern Jerusalem food in this hip spot - just don't forget to make a reservation in advance!,"34 Rupert St, London W1D 6DN",W1D 6DN,West,4,restaurant,,thepalomar.co.uk,0,0,1
Ichibuns,1,3,1,1,3,"Grab ramen and wagyu burgers at this Japanese restaurant, with some of the coolest décor (and bathrooms) in London!","22 Wardour St, London W1D 6QQ",W1D 6QQ,West,4,restaurant,,ichibuns.com,0,0,1
Casita Andina,1,3,1,1,3,Enjoy traditional Peruvian ceviches and piscos at this top spot for Peruvian food!,"31 Great Windmill St, Soho, London W1D 7LP",W1D 7DT,West,4,restaurant,,cevichefamily.com,0,0,1
Lanzhou Noodle Bar,1,2,1,1,3,"Although the atmosphere is basic, this low-key and traditional hand-pulled Chinese noodle spot is as authentic (and delicious) as it gets!","33 Cranbourn St, Covent Garden, London WC2H 7AD",WC2H 7AD,Central - West,2,restaurant,,lanzhounoodlebar.com,0,0,1
Leong's Legend,1,3,1,1,3,Come to Leong's Legend in Chinatown for their bottomless brunch dim sums and their beef noodle soup!,"39 Gerrard St, London W1D 5QD",W1D 5QD,West,4,restaurant,,leongslegend.co.uk,0,0,1
Dirty Bones - Soho,1,3,1,1,3,"This American restaurant offers stables like fried chicken and pancakes, in a cool industrial space.","14 Denman St, Soho, London W1D 7HJ",W1D 7HJ,West,4,restaurant,,dirty-bones.com,0,0,1
Where The Pankakes Are,1,3,1,1,3,Grab a place of unforgettable (and very instagrammable) pancakes any time of the day!,"Arch 35a, 85a Southwark Bridge Rd, London SE1 0NQ",SE1 0NQ,Southeast,5,restaurant,,wherethepancakesare.com,0,0,1
Bar Douro,1,3,1,1,3,Grab some top ranked Portuguese sharing places and Portuguese wines at this beautiful tiled restaurant.,"Arch 35a, 85a Southwark Bridge Rd, London SE1 0NQ",SE1 0NQ,Southeast,5,restaurant,,bardouro.co.uk,0,0,1
Yeni,1,4,1,1,3,"This mediterranean restaurant is a fan favourite, with a cosy vibe and top notch small plates.","55 Beak St, Soho, London W1F 9SH",W1F 9SH,West,4,restaurant,,yeni.london,0,0,1
Sketch,1,5,1,1,3,"This iconic London restaurant has some of the most hip and memorable décor in London, a perfect combo of atmosphere and quality food.","9 Conduit St, Mayfair, London W1S 2XG",W1S 2XG,West,4,restaurant,,sketch.london,0,0,1
Yoobi Sushi - Soho,1,3,1,1,3,Grab Japanese hand-rolled sushis at this cool modern spot.,"38 Lexington St, Soho, London W1F 0LL",W1F 0LL,West,4,restaurant,,yoobisushi.com,0,0,1
Bao - Fitzrovia,1,3,1,1,3,Bao Fitzrovia serves up highly popular bao buns with asian-inspired fillings - try one of each!,"31 Windmill St, Fitzrovia, London W1T 2JN",W1T 2JN,West,4,restaurant,,baolondon.com,0,0,1
Maison Bab,1,3,1,1,3,"This casual, modern and delicious kebab spot is perfect for a contemporary spin on Middle Eastern eats.","4 Mercer Walk, Covent Garden, London WC2H 9FA",WC2H 9FA,Central - West,2,restaurant,,maisonbab.com,0,0,1
Le Bab,1,2,1,1,3,Grab delicious kebab and shawarma at this stylish and casual Middle Eastern spot.,"Top Floor, Kingly Court, Carnaby Street, London W1B 5PW",W1B 5PW,West,4,restaurant,,eatlebab.com,0,0,1
Red Farm,1,3,1,1,3,Grab memorable Chinese dim sum dishes - soup dumplings you need to drink with a straw and Pac Man dumplings!,"9 Russell St, Covent Garden, London WC2B 5HZ",WC2B 5HZ,Central - West,2,restaurant,,redfarmldn.com,0,0,1
Yauatcha,1,4,1,1,3,"Chinese dim sum at top quality to match the price, in a hip and modern interior and beautiful hand-crafted desserts.","15-17 Broadwick St, Soho, London W1F 0DL",W1F 0DL,West,4,restaurant,,yauatcha.com,0,0,1
Lobos Meat and Tapas - Borough,1,3,1,1,3,"Cosy atmosphere under rail arches for tasty Spanish tapas - Iberian ham, croquetas and octopus!","14 Borough High St, London SE1 9QG",SE1 9QG,Southeast,5,restaurant,,lobostapas.co.uk,0,0,1
Princi,1,3,1,1,3,Counter-style Italian pizzeria with a casual and buzzing café atmosphere.,"135 Wardour St, Soho, London W1F 0UT",W1F 0UT,West,4,restaurant,,princi.com,0,0,1
Barrafina - Soho,1,4,1,1,3,Cosy and ever popular spot for some of the best Spanish tapas in London.,"26-27 Dean St, Soho, London W1D 3LL",W1D 3LL,West,4,restaurant,,barrafina.co.uk,0,0,1
Barrafina - Covent Garden,1,3,1,1,3,Cosy and ever popular spot for some of the best Spanish tapas in London.,"43 Drury Ln, Covent Garden, London WC2B 5AJ",WC2B 5AJ,Central - West,2,restaurant,,barrafina.co.uk,0,0,1
The Breakfast Club - Spitalfields,1,3,1,1,3,"Choose from tasty breakfast dishes at this hugely popular spot, in a casual and quirky atmosphere.","12-16 Artillery Ln, Spitalfields, London E1 7LS",E1 7LS,East,3,restaurant,,thebreakfastclubcafes.com,0,0,1
Jose,1,3,1,1,3,Grab some authentic Spanish tapas at this tiny and cosy restaurant.,"104 Bermondsey St, Bermondsey, London SE1 3UB",SE1 3UB,Southeast,5,restaurant,,josepizarro.com,0,0,1
Scarlett Green,1,3,1,1,3,Stop by this trendy and modern café for delicious Australian dishes - especially for brunch!,"4 Noel St, Soho, London W1F 8GB",W1F 8GB,West,4,restaurant,,daisygreenfood.com,0,0,1
Hutong,1,5,1,1,3,Upscale Chinese dim sum and dishes with stunning skyline views and swanky Asian decor - this spot is one of a kind!,"33, The Shard, 31 St Thomas St, London SE1 9RY",SE1 9RY,Southeast,5,restaurant,,hutong.co.uk,0,0,1
Circolo Poppolare,1,4,1,1,3,"Very popular Italian spot for Sicilian dishes, with stunning décor decorated with over 20,000 bottles lining the walls.","40-41 Rathbone Pl, Fitzrovia, London W1T 1HX",W1T 1HX,West,4,restaurant,,bigmammagroup.com,0,0,1
My Old Dutch,1,3,1,1,3,Traditional Dutch pancakes ALL DAY - both savoury and sweet!,"131-132 High Holborn, Holborn, London WC1V 6PS",WC1V 6PS,Central - West,2,restaurant,,myolddutch.com,0,0,1
Archipelago,1,4,1,1,3,"Quirky and exotic restaurant, to try meats like Zebra and Crocodile with a side of insects.","131-132 High Holborn, Holborn, London WC1V 6PS",WC1V 6PS,Central - West,2,restaurant,,archipelago-restaurant.co.uk,0,0,1
Twist at Crawford,1,3,1,1,3,Chic international tapas spot in a stylish atmosphere - and absolutely top marks from diners.,"42 Crawford St, Marylebone, London W1H 1JW",W1H 1JW,West,4,restaurant,,twistkitchen.co.uk,0,0,1
Opso,1,4,1,1,3,Stylish Greek restaurant for a cosy and fun dinner.,"10 Paddington St, Marylebone, London W1U 5QL",W1U 5QL,West,4,restaurant,,opso.co.uk,0,0,1
Uli,1,3,1,1,3,"Pretty and contemporary Asian restaurant with Thai, Vietnamese and Chinese dishes.","5 Ladbroke Rd, Notting Hill, London W11 3PA",W11 3PA,West,4,restaurant,,https://ulilondon.com/,0,0,1
Saporitalia,1,3,1,1,3,Cosy Italian gem of a restaurant in Notting Hill for authentic and affordable pizza and pasta.,"271 Portobello Rd, Notting Hill, London W11 1LR",W11 1LR,West,4,restaurant,,https://www.saporitaliarestaurant.co.uk/,0,0,1
The German Gymnasium,1,4,1,1,3,"Stylish and well-designed restaurant for German food, with a large beer and cigar menu","King's Blvd, Kings Cross, London N1C 4BU",N1C 4BU,North,7,restaurant,,https://www.germangymnasium.com/#book,0,0,
Hawksmoor Spitalfields,1,4,1,1,3,"Iconic steak-restaurant chain in a bare-brick atmosphere, where you can order top-cuts by the gram","157A Commercial St, Spitalfields, London E1 6BJ",E1 6BJ,East,3,restaurant,,https://thehawksmoor.com/food/our-menus/,0,0,
Gloria Trattoria,1,3,1,1,3,"Italian brunch in a hip buzzing Shoreditch location, try their carbonara served in a cheese wheel or their truffle pizza","54-56 Great Eastern St, Hackney, London EC2A 3QR",EC2A 3QR,Central - East,1,restaurant,,https://www.bigmammagroup.com/en/trattorias/gloria,0,0,
The Smoking Goat,1,3,1,1,3,This hip Bangkok inspired joint features unique and flavourful dishes infused with lemongrass and papaya,"64 Shoreditch High St, Hackney, London E1 6JJ",E1 6JJ,East,3,restaurant,,https://www.smokinggoatbar.com/,0,0,
